,Line,Group,Left,Right,ref_transcript,hyp_transcript,asr_hyp,interview_name,diff_name,diff_typ
58,7596,*** <-> is,*** , is,aa-rev,amber,False,VLD_se0_ag4_f_02_1,cop_aux_del_19a,morpho_syntax
59,3296,*** <-> do,*** , do,aa-rev,amber,False,VLD_se0_ag4_f_02_1,invariant_be_19b,morpho_syntax
60,6855,*** <-> do,*** , do,aa-rev,amber,False,VLD_se0_ag4_f_02_1,invariant_be_19b,morpho_syntax
61,137,school <-> schools,school , schools,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
62,207,schools <-> school,schools , school,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
63,294,hand-me-downs <-> hand-me-down,hand-me-downs , hand-me-down,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
64,848,teacher <-> teachers,teacher , teachers,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
65,1271,neighborhoods <-> neighborhood,neighborhoods , neighborhood,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
66,1524,kinds <-> kind,kinds , kind,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
67,1722,cent <-> cents,cent , cents,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
68,1812,projects <-> project,projects , project,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
69,1859,projects <-> project,projects , project,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
70,2733,bathroom <-> bathrooms,bathroom , bathrooms,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
71,2853,rights <-> right,rights , right,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
72,3702,schools <-> school,schools , school,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
73,3704,schools <-> school,schools , school,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
74,4098,gets <-> get,gets , get,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
75,4397,kinds <-> kind,kinds , kind,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
76,5557,doctorates <-> doctorate,doctorates , doctorate,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
77,6048,tvs <-> tv,tvs , tv,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
78,6414,customer <-> customers,customer , customers,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
79,6495,opera <-> operas,opera , operas,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
80,6553,customers <-> customer,customers , customer,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
81,7530,know <-> knows,know , knows,aa-rev,amber,False,VLD_se0_ag4_f_02_1,final_s_del_20a_21b,morpho_syntax
82,51,was <-> were,was , were,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
83,96,was <-> were,was , were,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
84,139,was <-> were,was , were,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
85,255,was <-> were,was , were,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
86,262,was <-> were,was , were,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
87,2107,was <-> were,was , were,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
88,2325,were <-> was,were , was,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
89,3273,was <-> were,was , were,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
90,4356,was <-> were,was , were,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
91,6809,were <-> was,were , was,aa-rev,amber,False,VLD_se0_ag4_f_02_1,switch_sin_plu_20b,morpho_syntax
92,943,call <-> called,call , called,aa-rev,amber,False,VLD_se0_ag4_f_02_1,stem_for_past_20e,morpho_syntax
93,1601,start <-> started,start , started,aa-rev,amber,False,VLD_se0_ag4_f_02_1,stem_for_past_20e,morpho_syntax
94,2695,colored <-> color,colored , color,aa-rev,amber,False,VLD_se0_ag4_f_02_1,stem_for_past_20e,morpho_syntax
95,2850,started <-> start,started , start,aa-rev,amber,False,VLD_se0_ag4_f_02_1,stem_for_past_20e,morpho_syntax
96,3876,walked <-> walk,walked , walk,aa-rev,amber,False,VLD_se0_ag4_f_02_1,stem_for_past_20e,morpho_syntax
97,4171,called <-> call,called , call,aa-rev,amber,False,VLD_se0_ag4_f_02_1,stem_for_past_20e,morpho_syntax
98,5923,turn <-> turned,turn , turned,aa-rev,amber,False,VLD_se0_ag4_f_02_1,stem_for_past_20e,morpho_syntax
99,7002,call <-> called,call , called,aa-rev,amber,False,VLD_se0_ag4_f_02_1,stem_for_past_20e,morpho_syntax
100,672,it <-> ***,it , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
101,1696,it <-> ***,it , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
102,3428,it <-> ***,it , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
103,4779,he <-> ***,he , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
104,5179,*** <-> they,*** , they,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
105,5472,it <-> ***,it , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
106,5676,it <-> ***,it , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
107,5994,it <-> ***,it , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
108,6037,it <-> ***,it , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
109,6334,it <-> ***,it , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
110,6896,it <-> ***,it , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,add_pronoun_21d,morpho_syntax
111,7571,ain't <-> is not,ain't , is not,aa-rev,amber,False,VLD_se0_ag4_f_02_1,aint_sub_22a,morpho_syntax
112,1923,*** <-> if,*** , if,aa-rev,amber,False,VLD_se0_ag4_f_02_1,if_whether_del_23b,morpho_syntax
113,5405,if <-> ***,if , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,if_whether_del_23b,morpho_syntax
114,6073,if <-> ***,if , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,if_whether_del_23b,morpho_syntax
115,342,gon' <-> going to,gon' , going to,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
116,1428,bout <-> about,bout , about,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
117,2202,about <-> ***,about , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
118,2543,about <-> about-,about , about-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
119,2869,them <-> ***,them , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
120,2957,them <-> then,them , then,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
121,3143,gon' <-> gonna,gon' , gonna,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
122,3515,*** <-> because,*** , because,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
123,4044,about <-> about-,about , about-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
124,4231,about <-> about-,about , about-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
125,4315,around <-> ***,around , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
126,4419,them <-> it,them , it,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
127,4481,gon' <-> going to,gon' , going to,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
128,4485,won't <-> wanna,won't , wanna,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
129,4723,*** <-> 'em,*** , 'em,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
130,5964,because <-> it was,because , it was,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
131,7200,them <-> me,them , me,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
132,7431,remember <-> remember-,remember , remember-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
133,7543,wanna <-> wanted to,wanna , wanted to,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_red_form,morpho_syntax
134,701,a <-> ***,a , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
135,733,a <-> on,a , on,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
136,870,back then <-> i,back then , i,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
137,1049,you <-> i,you , i,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
138,1087,a <-> the,a , the,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
139,1163,i <-> out,i , out,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
140,1499,i <-> i-,i , i-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
141,1621,f <-> ***,f , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
142,1761,the <-> a,the , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
143,1785,i <-> ***,i , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
144,1797,i <-> ***,i , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
145,2343,uh the <-> a,uh the , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
146,2550,i <-> it's-,i , it's-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
147,2568,i <-> i-i,i , i-i,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
148,2796,a <-> uh,a , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
149,3040,no <-> a,no , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
150,3048,the <-> a,the , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
151,3177,a <-> the,a , the,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
152,3841,a <-> uh,a , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
153,4531,i <-> i've,i , i've,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
154,5157,i <-> ***,i , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
155,5281,i <-> i-i,i , i-i,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
156,5382,a <-> ***,a , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
157,5389,the <-> a,the , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
158,5622,a <-> uh,a , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
159,5816,s <-> ***,s , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
160,5962,i <-> ***,i , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
161,5980,t <-> ***,t , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
162,6046,the <-> a,the , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
163,6252,i <-> ***,i , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
164,6742,*** <-> a,*** , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
165,6847,i <-> ***,i , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
166,6974,it <-> i,it , i,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
167,7021,i <-> ***,i , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
168,7182,you <-> i,you , i,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
169,7248,i <-> he,i , he,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
170,7293,of the <-> a,of the , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
171,7315,the <-> a,the , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
172,7343,that <-> a,that , a,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
173,7453,a <-> the,a , the,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
174,7466,mama <-> mamma,mama , mamma,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
175,5309,how'd <-> how did,how'd , how did,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_contraction,reductions
176,715,uh-uh <-> mm-mm,uh-uh , mm-mm,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
177,1416,um <-> uh,um , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
178,2410,ah <-> uh,ah , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
179,3731,um <-> uh,um , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
180,3763,um <-> uh,um , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
181,3918,um <-> uh,um , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
182,3970,oh <-> uh,oh , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
183,5117,um <-> uh,um , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
184,5132,uh-uh <-> mm-mm,uh-uh , mm-mm,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
185,5375,um <-> uh,um , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
186,6853,um <-> uh,um , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
187,7398,um <-> uh,um , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
188,7418,um <-> uh,um , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
189,490,um <-> ***,um , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
190,603,uh <-> ***,uh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
191,1055,uh-uh <-> ***,uh-uh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
192,1099,uh-uh <-> ***,uh-uh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
193,1281,yep <-> ***,yep , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
194,1298,uh-uh <-> ***,uh-uh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
195,4103,uh-huh <-> ***,uh-huh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
196,4600,*** <-> uh,*** , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
197,5111,oh <-> ***,oh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
198,5665,uh-uh <-> ***,uh-uh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
199,5692,oh <-> ***,oh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
200,5738,uh <-> ***,uh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
201,5908,*** <-> uh,*** , uh,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
202,7153,oh <-> ***,oh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
203,7266,oh <-> ***,oh , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
204,70,there <-> there-,there , there-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
205,74,for <-> for-,for , for-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
206,313,was <-> was-,was , was-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
207,427,sisters <-> sisters-,sisters , sisters-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
208,775,so <-> so-,so , so-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
209,789,just <-> just-,just , just-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
210,1057,you <-> you-,you , you-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
211,1093,that <-> that-,that , that-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
212,1181,the <-> the-,the , the-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
213,1184,they <-> they-,they , they-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
214,1352,to <-> to-,to , to-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
215,1460,couldn't <-> couldn't-,couldn't , couldn't-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
216,1804,moved <-> moved-,moved , moved-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
217,1995,you <-> you-,you , you-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
218,2041,house <-> house-,house , house-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
219,2175,that <-> that-,that , that-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
220,2205,got <-> got-,got , got-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
221,2472,know <-> know-,know , know-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
222,2631,feel <-> feel-,feel , feel-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
223,2640,things <-> things-,things , things-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
224,3009,were <-> were-,were , were-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
225,3016,didn't <-> didn't-,didn't , didn't-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
226,3087,back <-> back-,back , back-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
227,3151,so <-> so-,so , so-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
228,3195,the <-> the-,the , the-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
229,3210,this <-> this-,this , this-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
230,3306,the <-> the-,the , the-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
231,3363,did <-> did-,did , did-,aa-rev,amber,False,VLD_se0_ag4_f_02_1,is_restart,verbatim
