Line	Spkr	StTime	Content	EnTime
89	VLD_se0_ag4_f_02	91.3993	(pause 0.39)	91.7863
90	VLD_se0_ag4_f_02	91.7863	Well,	92.0987
91	VLD_se0_ag4_f_02	92.0987	(pause 0.41)	92.5137
92	VLD_se0_ag4_f_02	92.5137	what the white folks did. <laugh>	94.7900
93	VLD_se0_ag4_f_02	94.7900	(pause 0.74)	95.5286
94	VLD_se0_ag4_f_02	95.5286	And we always had to get handy downs.	98.1426
95	VLD_se0_ag4_f_02	98.1426	(pause 0.47)	98.6135
96	VLD_se0_ag4_f_02	98.6135	You know, they would have the best	100.4449
97	VLD_se0_ag4_f_02	100.4449	(pause 0.07)	100.5195
98	VLD_se0_ag4_f_02	100.5195	books,	101.3682
99	VLD_se0_ag4_f_02	101.3682	(pause 0.96)	102.3287
100	VLD_se0_ag4_f_02	102.3287	desks,	103.2986
101	VLD_se0_ag4_f_02	103.2986	(pause 0.69)	103.9887
102	VLD_se0_ag4_f_02	103.9887	any kind of equipment. And we got 'em when they	106.4869
103	VLD_se0_ag4_f_02	106.4869	(pause 0.46)	106.9485
104	VLD_se0_ag4_f_02	106.9485	was getting new ones.	108.2728
105	VLD_int_01	108.3614	[Mm.]	108.6505
106	VLD_se0_ag4_f_02	108.5525	[So,] we was able to get	109.7742
107	VLD_se0_ag4_f_02	109.9281	their books. And now, we never had new books	112.4216
108	VLD_se0_ag4_f_02	112.4216	(pause 0.24)	112.6641
109	VLD_se0_ag4_f_02	112.6641	even through high school.	113.9930
110	VLD_se0_ag4_f_02	113.9930	(pause 1.26)	115.2566
111	VLD_se0_ag4_f_02	115.2566	finished /RD-SCHOOL-4/ in nineteen	117.6980
112	VLD_se0_ag4_f_02	117.6980	(pause 1.05)	118.7518
113	VLD_se0_ag4_f_02	118.7518	fifty-four.	119.9175
114	VLD_se0_ag4_f_02	119.9175	(pause 0.67)	120.5890
115	VLD_se0_ag4_f_02	120.5890	Still,	121.2791
116	VLD_se0_ag4_f_02	121.2791	(pause 0.21)	121.4936
117	VLD_se0_ag4_f_02	121.4936	had no	122.2058
118	VLD_se0_ag4_f_02	122.2058	(pause 0.83)	123.0358
119	VLD_se0_ag4_f_02	123.0358	new books. No new nothing.	124.8171
120	VLD_int_01	126.5423	Wow.	126.8501
121	VLD_se0_ag4_f_02	126.9433	It was always hand me down.	128.5229
122	VLD_int_01	128.9612	Do you feel like you got a good education?	130.4254
123	VLD_se0_ag4_f_02	131.0549	I think so, because	132.5796
124	VLD_se0_ag4_f_02	132.5796	(pause 1.37)	133.9505
125	VLD_se0_ag4_f_02	133.9505	during that time, the teachers was	135.8914
126	VLD_se0_ag4_f_02	135.8914	(pause 0.28)	136.1666
127	VLD_se0_ag4_f_02	136.1666	they were black too, you know.	137.5374
128	VLD_se0_ag4_f_02	137.5374	(pause 0.37)	137.9058
129	VLD_se0_ag4_f_02	137.9058	So, they always see that we	139.8771
130	VLD_se0_ag4_f_02	139.8771	(pause 0.27)	140.1475
131	VLD_se0_ag4_f_02	140.1475	learned	140.9822
132	VLD_se0_ag4_f_02	140.9822	(pause 0.60)	141.5837
133	VLD_se0_ag4_f_02	141.5837	and most of 'em knew your parents.	143.4115
134	VLD_se0_ag4_f_02	143.4115	(pause 0.21)	143.6167
135	VLD_se0_ag4_f_02	143.6167	So, if they knew your parents, they was gonna get with your parents and talk.	146.9542
136	VLD_se0_ag4_f_02	146.9542	(pause 0.33)	147.2853
137	VLD_se0_ag4_f_02	147.2853	It wasn't no such thing as PTA and	149.7006
138	VLD_se0_ag4_f_02	149.7006	(pause 0.68)	150.3768
139	VLD_se0_ag4_f_02	150.3768	stuff like that. But, they would just	152.0776
140	VLD_se0_ag4_f_02	152.0776	(pause 0.11)	152.1895
141	VLD_se0_ag4_f_02	152.1895	come back cause	153.2246
142	VLD_se0_ag4_f_02	153.2246	(pause 0.30)	153.5277
143	VLD_se0_ag4_f_02	153.5277	telephones wasn't in use.	154.9732
144	VLD_se0_ag4_f_02	154.9732	(pause 0.48)	155.4488
145	VLD_se0_ag4_f_02	155.4488	[<laugh>]	155.7566
146	VLD_int_01	155.4488	[<laugh>]	156.3395
147	VLD_se0_ag4_f_02	156.4700	Telephones wasn't e-	157.9053
148	VLD_se0_ag4_f_02	157.9053	(pause 0.36)	158.2690
149	VLD_se0_ag4_f_02	158.2690	<laugh>	158.6560
150	VLD_se0_ag4_f_02	158.6560	(pause 0.50)	159.1585
151	VLD_se0_ag4_f_02	159.1585	First telephone we had,	160.7485
152	VLD_se0_ag4_f_02	160.7485	(pause 0.46)	161.2055
153	VLD_se0_ag4_f_02	161.2055	I think we had to put a quarter in it or something on the wall	164.4369
154	VLD_se0_ag4_f_02	164.4369	(pause 0.42)	164.8565
155	VLD_se0_ag4_f_02	164.8565	to use it.	165.6574
156	VLD_se0_ag4_f_02	165.6574	(pause 0.69)	166.3429
157	VLD_se0_ag4_f_02	166.3429	And that was real rare.	167.6904
158	VLD_se0_ag4_f_02	167.6904	(pause 0.09)	167.7790
159	VLD_se0_ag4_f_02	167.7790	You was a-	168.1894
160	VLD_se0_ag4_f_02	168.1894	(pause 0.19)	168.3759
161	VLD_se0_ag4_f_02	168.3759	you was something if you had a telephone. <laugh>	170.7633
162	VLD_int_01	171.3497	<laugh>	171.7040
163	VLD_int_01	171.7040	(pause 0.28)	171.9838
164	VLD_int_01	171.9838	Now, how many of i- wa- how many were there? Were there- you. How many brothers and [sisters was it?]	175.8354
165	VLD_se0_ag4_f_02	175.5789	[I had] six. Three girls and three boys.	178.0584
166	VLD_int_01	178.5993	And y'all all [lived in the-]	179.5086
167	VLD_se0_ag4_f_02	179.1495	[All lived] in same house.	180.8935
168	VLD_se0_ag4_f_02	181.5043	See, it wasn't no everybody had they own room.	183.9279
169	VLD_se0_ag4_f_02	183.9279	(pause 0.44)	184.3708
170	VLD_se0_ag4_f_02	184.3708	We had	184.7672
171	VLD_se0_ag4_f_02	184.7672	(pause 0.19)	184.9537
172	VLD_se0_ag4_f_02	184.9537	thr-	185.1076
173	VLD_se0_ag4_f_02	185.1076	(pause 0.16)	185.2661
174	VLD_se0_ag4_f_02	185.2661	two bedroom.	186.1474
175	VLD_se0_ag4_f_02	186.1474	(pause 0.40)	186.5484
176	VLD_se0_ag4_f_02	186.5484	The girls had a bedroom, the boys had a bedroom,	188.9813
177	VLD_se0_ag4_f_02	188.9813	(pause 0.27)	189.2517
178	VLD_se0_ag4_f_02	189.2517	and your parents had a bedroom.	190.6926
179	VLD_se0_ag4_f_02	190.6926	(pause 0.55)	191.2475
180	VLD_se0_ag4_f_02	191.2475	But, that was about it.	192.2127
181	VLD_se0_ag4_f_02	192.2127	(pause 1.29)	193.4996
182	VLD_se0_ag4_f_02	193.4996	We shared everything.	194.7120
183	VLD_int_01	195.1958	And what	195.5595
184	VLD_int_01	195.5595	(pause 0.13)	195.6854
185	VLD_int_01	195.6854	number are you?	196.3755
186	VLD_se0_ag4_f_02	197.6158	Mm.	198.4971
187	VLD_se0_ag4_f_02	198.4971	(pause 0.57)	199.0660
188	VLD_se0_ag4_f_02	199.0660	I'm the	199.6115
189	VLD_se0_ag4_f_02	199.6115	(pause 2.35)	201.9605
190	VLD_se0_ag4_f_02	201.9605	Fourth one.	202.4921
191	VLD_int_01	202.7532	You're the [fourth.]	203.4008
192	VLD_se0_ag4_f_02	203.3221	[Yeah.]	203.6345
193	VLD_int_01	203.7231	[Okay.]	204.0961
194	VLD_se0_ag4_f_02	203.8396	[Mm-hm.]	204.2080
195	VLD_se0_ag4_f_02	204.3199	Yeah. [Four.]	204.7582
196	VLD_int_01	204.6696	[So,] did you. You didn't have-	205.6349
197	VLD_int_01	205.7608	you didn't have as much responsibility because you weren't the oldest,	208.1220
198	VLD_int_01	208.1220	(pause 0.11)	208.2339
199	VLD_int_01	208.2339	but you weren't the baby either.	209.1711
200	VLD_se0_ag4_f_02	209.2364	No.	209.6841
201	VLD_se0_ag4_f_02	209.6841	(pause 0.11)	209.7913
202	VLD_se0_ag4_f_02	209.7913	But, we all shared everything. Everybody had to	212.1880
203	VLD_se0_ag4_f_02	212.1880	(pause 0.10)	212.2906
204	VLD_se0_ag4_f_02	212.2906	do something.	212.9341
205	VLD_int_01	213.7117	So, what was your chores? Or what was your responsibility in the house?	216.7472
206	VLD_se0_ag4_f_02	216.0004	<ts>	216.0986
207	VLD_se0_ag4_f_02	216.9990	Well, we all had to	218.2440
208	VLD_se0_ag4_f_02	218.2440	(pause 0.25)	218.4958
209	VLD_se0_ag4_f_02	218.4958	clean up the kitchen. We had a w-	220.0194
210	VLD_se0_ag4_f_02	220.0194	(pause 0.34)	220.3598
211	VLD_se0_ag4_f_02	220.3598	uh,	220.7934
212	VLD_se0_ag4_f_02	220.7934	(pause 1.04)	221.8379
213	VLD_se0_ag4_f_02	221.8379	a week a piece to	222.6912
214	VLD_se0_ag4_f_02	222.6912	(pause 0.19)	222.8778
215	VLD_se0_ag4_f_02	222.8778	clean the kitchen.	223.7777
216	VLD_se0_ag4_f_02	223.7777	(pause 1.13)	224.9061
217	VLD_se0_ag4_f_02	224.9061	And one, um,	226.1267
218	VLD_se0_ag4_f_02	226.1267	(pause 0.35)	226.4810
219	VLD_se0_ag4_f_02	226.4810	my oldest sister, I think, she used to iron, but we all help washed.	230.5098
220	VLD_se0_ag4_f_02	230.5098	(pause 0.56)	231.0740
221	VLD_se0_ag4_f_02	231.0740	Cause it wasn't no washing machines inside. You [had the rub] bowls and	234.8451
222	VLD_int_01	233.4463	[<laugh>]	234.0851
223	VLD_se0_ag4_f_02	236.7989	Had three tubs.	238.0651
224	VLD_se0_ag4_f_02	238.0651	(pause 0.22)	238.2842
225	VLD_se0_ag4_f_02	238.2842	<laugh>	238.6073
226	VLD_se0_ag4_f_02	238.6073	(pause 0.65)	239.2601
227	VLD_se0_ag4_f_02	239.2601	A ru- a rub bowl tub and then	241.3603
228	VLD_int_01	239.4040	[/inaudible/]	239.6698
229	VLD_se0_ag4_f_02	241.4452	two wrenching tubs, you hung them out	243.3337
230	VLD_se0_ag4_f_02	243.3337	(pause 0.69)	244.0284
231	VLD_se0_ag4_f_02	244.0284	and even they had those old	245.4693
232	VLD_se0_ag4_f_02	245.4693	(pause 0.21)	245.6791
233	VLD_se0_ag4_f_02	245.6791	big	245.9589
234	VLD_se0_ag4_f_02	245.9589	(pause 0.34)	246.2993
235	VLD_se0_ag4_f_02	246.2993	pots, you know, people used to ball clothes. A-	248.8295
236	VLD_se0_ag4_f_02	248.8295	(pause 0.21)	249.0393
237	VLD_se0_ag4_f_02	249.0393	I don't know why.	249.8973
238	VLD_se0_ag4_f_02	249.8973	(pause 0.25)	250.1444
239	VLD_se0_ag4_f_02	250.1444	But, they did.	250.9045
240	VLD_se0_ag4_f_02	250.9045	(pause 0.53)	251.4360
241	VLD_se0_ag4_f_02	251.4360	Cause I thought they were tearing them up, balling them.	253.5805
242	VLD_int_01	253.7111	[Hm.]	254.2053
243	VLD_se0_ag4_f_02	253.9431	[<laugh>]	254.8244
244	VLD_int_01	254.6285	[To make] the water real [high?]	255.7056
245	VLD_se0_ag4_f_02	255.6077	[Uh-huh.]	256.3584
246	VLD_se0_ag4_f_02	256.4937	Mm-hm.	256.8760
247	VLD_int_01	256.8993	Oh, like the [cauldron?]	257.8925
248	VLD_se0_ag4_f_02	257.6827	[Yeah.]	258.2096
249	VLD_int_01	258.3588	And they would	258.7785
250	VLD_se0_ag4_f_02	260.1074	I s- It was something like a	261.3699
251	VLD_se0_ag4_f_02	261.3699	(pause 0.12)	261.4865
252	VLD_se0_ag4_f_02	261.4865	kettle.	261.9201
253	VLD_se0_ag4_f_02	261.9201	(pause 0.18)	262.0973
254	VLD_se0_ag4_f_02	262.0973	A big old	262.9040
255	VLD_se0_ag4_f_02	262.9040	(pause 0.82)	263.7200
256	VLD_se0_ag4_f_02	263.7200	iron pot.	264.4801
257	VLD_int_01	264.5966	Mm-hm.	264.9976
258	VLD_se0_ag4_f_02	265.0816	And they	265.4126
259	VLD_se0_ag4_f_02	265.4126	(pause 0.08)	265.4919
260	VLD_se0_ag4_f_02	265.4919	put that water in and then put fire up under.	267.7616
261	VLD_se0_ag4_f_02	267.7616	(pause 1.78)	269.5428
262	VLD_se0_ag4_f_02	269.5428	And had a s-	270.1630
263	VLD_se0_ag4_f_02	270.1630	(pause 0.15)	270.3122
264	VLD_se0_ag4_f_02	270.3122	something called a balance stick they keep jugging in there (laughing). <laugh>	274.0181
265	VLD_se0_ag4_f_02	274.0181	(pause 0.94)	274.9600
266	VLD_se0_ag4_f_02	274.9600	[I-]	275.1092
267	VLD_int_01	274.9600	[But] y'all didn't do that?	275.8086
268	VLD_se0_ag4_f_02	275.9298	No.	276.3215
269	VLD_se0_ag4_f_02	276.3215	(pause 0.35)	276.6759
270	VLD_se0_ag4_f_02	276.6759	Mm-mm.	277.0489
271	VLD_int_01	277.1702	And your clothes was just fine?	278.2846
272	VLD_se0_ag4_f_02	278.4152	Just [fine.]	278.9654
273	VLD_int_01	278.8442	[And] then you hung them up on the [line?]	280.2512
274	VLD_se0_ag4_f_02	280.1113	[A line.]	280.8014
275	VLD_se0_ag4_f_02	280.9786	Mm-hm.	281.2817
276	VLD_int_01	281.6314	So,	282.3309
277	VLD_int_01	282.3309	(pause 1.14)	283.4733
278	VLD_int_01	283.4733	going back to school, what was your	284.5178
279	VLD_int_01	284.5178	(pause 0.11)	284.6230
280	VLD_int_01	284.6230	favorite subject and who was your favorite teacher?	286.6719
281	VLD_se0_ag4_f_02	288.2796	Mm.	288.7039
282	VLD_se0_ag4_f_02	288.7039	(pause 1.55)	290.2566
283	VLD_se0_ag4_f_02	290.2566	Okay, I’m’a go back that far.	291.5789
284	VLD_int_01	291.6348	<laugh>	292.8798
285	VLD_se0_ag4_f_02	294.2869	Mm.	294.4501
286	VLD_se0_ag4_f_02	294.4501	(pause 0.39)	294.8371
287	VLD_se0_ag4_f_02	294.8371	Well, I had one teacher. Ms. /RD-NAME-2/.	297.3551
288	VLD_se0_ag4_f_02	297.3551	(pause 0.96)	298.3145
289	VLD_se0_ag4_f_02	298.3145	/RD-NAME-4/.	299.6714
290	VLD_se0_ag4_f_02	299.6714	(pause 0.54)	300.2076
291	VLD_se0_ag4_f_02	300.2076	She was my third grade teacher.	302.0122
292	VLD_se0_ag4_f_02	302.0122	(pause 0.79)	302.8049
293	VLD_se0_ag4_f_02	302.8049	She was always just so.	304.0685
294	VLD_se0_ag4_f_02	304.0685	(pause 0.33)	304.3949
295	VLD_se0_ag4_f_02	304.3949	She had no children, and she likeded all children.	307.3155
296	VLD_se0_ag4_f_02	307.3155	(pause 0.07)	307.3854
297	VLD_se0_ag4_f_02	307.3854	You know how she just	308.4905
298	VLD_se0_ag4_f_02	308.4905	(pause 0.11)	308.5978
299	VLD_se0_ag4_f_02	308.5978	was just a mother-like	309.7064
300	VLD_se0_ag4_f_02	309.7064	(pause 0.16)	309.8649
301	VLD_se0_ag4_f_02	309.8649	[teacher.]	310.3359
302	VLD_int_01	310.0090	[Mm.]	310.2833
303	VLD_se0_ag4_f_02	310.8155	I remember that in	311.9726
304	VLD_se0_ag4_f_02	311.9726	(pause 0.11)	312.0845
305	VLD_se0_ag4_f_02	312.0845	third grade.	312.9611
306	VLD_se0_ag4_f_02	312.9611	(pause 3.76)	316.7229
307	VLD_se0_ag4_f_02	316.7229	And when I got to high school,	318.4342
308	VLD_se0_ag4_f_02	318.4342	(pause 1.34)	319.7724
309	VLD_se0_ag4_f_02	319.7724	Mrs./RD-NAME-2/.	321.1620
310	VLD_se0_ag4_f_02	321.1620	(pause 0.92)	322.0826
311	VLD_se0_ag4_f_02	322.0826	/She/ lived on Magnolia Street.	323.7441
312	VLD_se0_ag4_f_02	323.7441	(pause 1.06)	324.8072
313	VLD_se0_ag4_f_02	324.8072	She was our	325.4787
314	VLD_se0_ag4_f_02	325.4787	(pause 0.19)	325.6652
315	VLD_se0_ag4_f_02	325.6652	third grade teacher. She was strict.	327.4546
316	VLD_se0_ag4_f_02	327.4546	(pause 0.06)	327.5152
317	VLD_se0_ag4_f_02	327.5152	But, if you	328.6017
318	VLD_se0_ag4_f_02	328.6017	(pause 0.62)	329.2218
319	VLD_se0_ag4_f_02	329.2218	would get her lesson, you would pass. You know?	331.6605
320	VLD_int_01	331.7417	[Mm-hm.	332.0290
321	VLD_se0_ag4_f_02	331.8890	[You] had to study.	332.8309
322	VLD_se0_ag4_f_02	333.0128	And she see that you study,	334.5970
323	VLD_se0_ag4_f_02	334.5970	(pause 0.78)	335.3804
324	VLD_se0_ag4_f_02	335.3804	And my	335.7814
325	VLD_se0_ag4_f_02	335.7814	(pause 0.18)	335.9632
326	VLD_se0_ag4_f_02	335.9632	a- other teacher was my English teacher. Ms. /RD-NAME-5/.	339.0781
327	VLD_se0_ag4_f_02	339.0781	(pause 1.92)	340.9934
328	VLD_se0_ag4_f_02	340.9934	And.	341.4177
329	VLD_se0_ag4_f_02	341.4177	(pause 0.53)	341.9493
330	VLD_se0_ag4_f_02	341.9493	She was struck.	342.8259
331	VLD_se0_ag4_f_02	342.8259	(pause 0.61)	343.4367
332	VLD_se0_ag4_f_02	343.4367	But, she was a good. [<laugh>]	345.9498
333	VLD_int_01	344.1735	[<laugh>]	345.9498
334	VLD_se0_ag4_f_02	347.0583	Uh-huh.	347.5432
335	VLD_se0_ag4_f_02	347.5432	(pause 1.16)	348.7043
336	VLD_se0_ag4_f_02	348.7043	Yeah. So,	349.5576
337	VLD_se0_ag4_f_02	349.5576	(pause 0.73)	350.2920
338	VLD_se0_ag4_f_02	350.2920	that's about it about that school, I think.	352.4742
339	VLD_se0_ag4_f_02	352.4742	(pause 0.20)	352.6701
340	VLD_se0_ag4_f_02	352.6701	Just put it right [together] right now.	354.4140
341	VLD_int_01	353.6400	[/Together/.]	353.9884
342	VLD_int_01	354.6705	Did you, um, so, going back	356.1441
343	VLD_int_01	356.1441	(pause 0.23)	356.3772
344	VLD_int_01	356.3772	to your neighborhood, did you play outside a lot, or were y'all in the house a lot?	359.6261
345	VLD_se0_ag4_f_02	359.6727	Oh no. You always played outside. That's one thing. When you, get through eating breakfast in the morning, the f-	364.9892
346	VLD_se0_ag4_f_02	364.9892	(pause 0.28)	365.2736
347	VLD_se0_ag4_f_02	365.2736	t- cleaning or whatever you had to do, you had to go outside and play.	368.6437
348	VLD_se0_ag4_f_02	368.6437	(pause 0.77)	369.4131
349	VLD_se0_ag4_f_02	369.4131	And you only came in when they call you.	371.4450
350	VLD_se0_ag4_f_02	371.4450	(pause 0.56)	372.0092
351	VLD_se0_ag4_f_02	372.0092	So, you made your own toys.	373.8837
352	VLD_se0_ag4_f_02	373.8837	(pause 0.36)	374.2474
353	VLD_se0_ag4_f_02	374.2474	Whatever you was gonna play with (laughing). <laugh>	376.4949
354	VLD_se0_ag4_f_02	376.4949	(pause 0.60)	377.0964
355	VLD_se0_ag4_f_02	377.0964	And.	377.3657
356	VLD_se0_ag4_f_02	377.3657	(pause 0.12)	377.4823
357	VLD_se0_ag4_f_02	377.4823	Uh.	377.9113
358	VLD_se0_ag4_f_02	377.9113	(pause 0.11)	378.0232
359	VLD_se0_ag4_f_02	378.0232	We had a little neighborhood where	379.6272
360	VLD_se0_ag4_f_02	379.6272	(pause 1.23)	380.8535
361	VLD_se0_ag4_f_02	380.8535	everybody had children.	382.3410
362	VLD_se0_ag4_f_02	382.3410	(pause 0.09)	382.4296
363	VLD_se0_ag4_f_02	382.4296	So, we h- had a baseball game	384.6247
364	VLD_se0_ag4_f_02	384.6247	(pause 0.14)	384.7646
365	VLD_se0_ag4_f_02	384.7646	in the middle of the road, South Street.	386.8256
366	VLD_se0_ag4_f_02	386.8256	(pause 0.67)	387.4970
367	VLD_se0_ag4_f_02	387.4970	Cars had-	388.1172
368	VLD_se0_ag4_f_02	388.1172	(pause 0.40)	388.5135
369	VLD_se0_ag4_f_02	388.5135	Well, it wasn't too many cars back then [no way.]	390.9651
370	VLD_int_01	390.5920	[Right.]	390.8299
371	VLD_se0_ag4_f_02	391.2682	So, everybody played in the streets.	393.3152
372	VLD_se0_ag4_f_02	393.3152	(pause 0.83)	394.1498
373	VLD_se0_ag4_f_02	394.1498	So.	394.4762
374	VLD_se0_ag4_f_02	394.4762	(pause 1.07)	395.5476
375	VLD_se0_ag4_f_02	395.5476	Yeah, we had a	396.0791
376	VLD_se0_ag4_f_02	396.0791	(pause 0.09)	396.1724
377	VLD_se0_ag4_f_02	396.1724	pretty good	396.6993
378	VLD_se0_ag4_f_02	396.6993	(pause 0.65)	397.3474
379	VLD_se0_ag4_f_02	397.3474	neighborhoods. And people	398.7696
380	VLD_se0_ag4_f_02	398.7696	(pause 0.26)	399.0307
381	VLD_se0_ag4_f_02	399.0307	got-	399.3059
382	VLD_se0_ag4_f_02	399.3059	(pause 0.14)	399.4411
383	VLD_se0_ag4_f_02	399.4411	got along together.	400.6255
384	VLD_se0_ag4_f_02	400.6255	(pause 0.59)	401.2130
385	VLD_se0_ag4_f_02	401.2130	We'd fight, some of 'em fight, but the next day, they right back together. It wasn't [like the people holding] grudges like they do now.	407.7237
386	VLD_int_01	405.0826	[<laugh>]	406.1276
387	VLD_se0_ag4_f_02	407.8403	<laugh>	408.2227
388	VLD_int_01	409.1366	Was it a lot of crime?	410.5048
389	VLD_se0_ag4_f_02	411.0551	No.	411.5353
390	VLD_se0_ag4_f_02	411.5353	(pause 0.35)	411.8804
391	VLD_se0_ag4_f_02	411.8804	No, you didn't he- ever hear about crime.	414.0522
392	VLD_se0_ag4_f_02	414.0522	(pause 0.52)	414.5744
393	VLD_se0_ag4_f_02	414.5744	Mm-mm.	415.0360
394	VLD_int_01	416.1365	Did you-	416.4815
